------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
     0.259      0.0461026              0              0              0              0        14.9074
      0.26      0.0461014              0              0              0              0        14.7929
     0.261      0.0461001              0              0              0              0        14.6798
     0.262      0.0460988              0              0              0              0        14.5679
     0.263      0.0460976              0              0              0              0        14.4573
     0.264      0.0460963              0              0              0              0         14.348
     0.265       0.046095              0              0              0              0        14.2399
     0.266      0.0460937              0              0              0              0        14.1331
     0.267      0.0460925              0              0              0              0        14.0274
     0.268      0.0460912              0              0              0              0        13.9229
     0.269      0.0460899              0              0              0              0        13.8196
      0.27      0.0460886              0              0              0              0        13.7174
     0.271      0.0460874              0              0              0              0        13.6164
     0.272      0.0460861              0              0              0              0        13.5164
     0.273      0.0460848              0              0              0              0        13.4176
     0.274      0.0460835              0              0              0              0        13.3198
     0.275      0.0460822              0              0              0              0        13.2231
     0.276      0.0460809              0              0              0              0        13.1275
     0.277      0.0460796              0              0              0              0        13.0329
     0.278      0.0460784              0              0              0              0        12.9393
     0.279      0.0460771              0              0              0              0        12.8467
      0.28      0.0460758              0              0              0              0        12.7551
     0.281      0.0460745              0              0              0              0        12.6645
     0.282      0.0460732              0              0              0              0        12.5748
     0.283      0.0460719              0              0              0              0        12.4861
     0.284      0.0460706              0              0              0              0        12.3983
     0.285      0.0460693              0              0              0              0        12.3115
     0.286       0.046068              0              0              0              0        12.2255
     0.287      0.0460667              0              0              0              0        12.1405
     0.288      0.0460654              0              0              0              0        12.0563
     0.289      0.0460641              0              0              0              0         11.973
      0.29      0.0460628              0              0              0              0        11.8906
     0.291      0.0460615              0              0              0              0         11.809
     0.292      0.0460602              0              0              0              0        11.7283
     0.293      0.0460589              0              0              0              0        11.6484
     0.294      0.0460576              0              0              0              0        11.5693
     0.295      0.0460563              0              0              0              0         11.491
     0.296       0.046055              0              0              0              0        11.4134
     0.297      0.0460536              0              0              0              0        11.3367
     0.298      0.0460523              0              0              0              0        11.2608
     0.299       0.046051              0              0              0              0        11.1856
       0.3      0.0460497              0              0              0              0        11.1111
     0.301      0.0460484              0              0              0              0        11.0374
     0.302      0.0460471              0              0              0              0        10.9644
     0.303      0.0460457              0              0              0              0        10.8922
     0.304      0.0460444              0              0              0              0        10.8206
     0.305      0.0460431              0              0              0              0        10.7498
     0.306      0.0460418              0              0              0              0        10.6797
     0.307      0.0460405              0              0              0              0        10.6102
     0.308      0.0460391              0              0              0              0        10.5414
     0.309      0.0460378              0              0              0              0        10.4733
      0.31      0.0460365              0              0              0              0        10.4058
     0.311      0.0460351              0              0              0              0         10.339
     0.312      0.0460338              0              0              0              0        10.2728
     0.313      0.0460325              0              0              0              0        10.2073
     0.314      0.0460311              0              0              0              0        10.1424
     0.315      0.0460298              0              0              0              0        10.0781
     0.316      0.0460285              0              0              0              0        10.0144
     0.317      0.0460271              0              0              0              0        9.95134
     0.318      0.0460258              0              0              0              0        9.88885
     0.319      0.0460245              0              0              0              0        9.82695
      0.32      0.0460231              0              0              0              0        9.76562
     0.321      0.0460218              0              0              0              0        9.70487
     0.322      0.0460204              0              0              0              0        9.64469
     0.323      0.0460191              0              0              0              0        9.58506
     0.324      0.0460177              0              0              0              0        9.52599
     0.325      0.0460164              0              0              0              0        9.46746
     0.326       0.046015              0              0              0              0        9.40946
     0.327      0.0460137              0              0              0              0          9.352
     0.328      0.0460123              0              0              0              0        9.29506
     0.329       0.046011              0              0              0              0        9.23864
      0.33      0.0460096              0              0              0              0        9.18274
     0.331      0.0460083              0              0              0              0        9.12734
     0.332      0.0460069              0              0              0              0        9.07243
     0.333      0.0460056              0              0              0              0        9.01803
     0.334      0.0460042              0              0              0              0        8.96411
     0.335      0.0460029              0              0              0              0        8.91067
     0.336      0.0460015              0              0              0              0        8.85771
     0.337      0.0460001              0              0              0              0        8.80522
     0.338      0.0459988              0              0              0              0        8.75319
     0.339      0.0459974              0              0              0              0        8.70163
      0.34       0.045996              0              0              0              0        8.65052
     0.341      0.0459947              0              0              0              0        8.59986
     0.342      0.0459933              0              0              0              0        8.54964
     0.343      0.0459919              0              0              0              0        8.49986
     0.344      0.0459906              0              0              0              0        8.45051
     0.345      0.0459892              0              0              0              0         8.4016
     0.346      0.0459878              0              0              0              0         8.3531
     0.347      0.0459864              0              0              0              0        8.30503
     0.348      0.0459851              0              0              0              0        8.25737
     0.349      0.0459837              0              0              0              0        8.21011
      0.35      0.0459823              0              0              0              0        8.16327
     0.351      0.0459809              0              0              0              0        8.11682
     0.352      0.0459795              0              0              0              0        8.07076
     0.353      0.0459782              0              0              0              0         8.0251
     0.354      0.0459768              0              0              0              0        7.97983
     0.355      0.0459754              0              0              0              0        7.93493
     0.356       0.045974              0              0              0              0        7.89042
     0.357      0.0459726              0              0              0              0        7.84628
     0.358      0.0459712              0              0              0              0         7.8025
     0.359      0.0459698              0              0              0              0         7.7591
      0.36      0.0459684              0              0              0              0        7.71605
     0.361       0.045967              0              0              0              0        7.67336
     0.362      0.0459657              0              0              0              0        7.63102
     0.363      0.0459643              0              0              0              0        7.58904
     0.364      0.0459629              0              0              0              0         7.5474
     0.365      0.0459615              0              0              0              0         7.5061
     0.366      0.0459601              0              0              0              0        7.46514
     0.367      0.0459587              0              0              0              0        7.42451
     0.368      0.0459573              0              0              0              0        7.38422
     0.369      0.0459559              0              0              0              0        7.34425
      0.37      0.0459544              0              0              0              0         7.3046
     0.371       0.045953              0              0              0              0        7.26528
     0.372      0.0459516              0              0              0              0        7.22627
